pagina,titulo,url
6,Día de los Patrimonios Bancoestado: Homenaje a Gabriela Mistral,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-bancoestado-homenaje-gabriela-mistral
6,"""Visita guiada al Campus Oriente UC""",https://www.diadelospatrimonios.cl/actividad/visita-guiada-al-campus-oriente-uc
6,"Muestra de motos, autos y aviones a escala clásicos",https://www.diadelospatrimonios.cl/actividad/muestra-de-motos-autos-y-aviones-escala-clasicos
6,Aventura Vikinga,https://www.diadelospatrimonios.cl/actividad/aventura-vikinga
7,Día de los patrimonios en el Viaducto del Malleco-Collipulli,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-en-el-viaducto-del-malleco-collipulli
7,Visita Central Rapel,https://www.diadelospatrimonios.cl/actividad/visita-central-rapel
7,Faro Punta Tortuga,https://www.diadelospatrimonios.cl/actividad/faro-punta-tortuga
7,Casa abierta del Instituto Teletón de Iquique,https://www.diadelospatrimonios.cl/actividad/casa-abierta-del-instituto-teleton-de-iquique
7,Día del Patrimonio en la Gran Logia de Chile,https://www.diadelospatrimonios.cl/actividad/dia-del-patrimonio-en-la-gran-logia-de-chile
7,Día de los Patrimonios Lo Matta Cultural,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-lo-matta-cultural
7,Patrimonios con corazón de Héroes,https://www.diadelospatrimonios.cl/actividad/patrimonios-con-corazon-de-heroes
7,Reviviendo el pasado,https://www.diadelospatrimonios.cl/actividad/reviviendo-el-pasado
8,Visita Guiada Casa Consistorial de Conchalí (Antigua Chacra Lo Negrete),https://www.diadelospatrimonios.cl/actividad/visita-guiada-casa-consistorial-de-conchali-antigua-chacra-lo-negrete
8,Visita al Monumento a los Boy Scouts de Chile y su Historia,https://www.diadelospatrimonios.cl/actividad/visita-al-monumento-los-boy-scouts-de-chile-y-su-historia
8,Tour Historia Viva LAS CROMIX CAB CHILE,https://www.diadelospatrimonios.cl/actividad/tour-historia-viva-las-cromix-cab-chile
8,Pomaire: Una historia que contar,https://www.diadelospatrimonios.cl/actividad/pomaire-una-historia-que-contar
8,Día del patrimonio en patio colores,https://www.diadelospatrimonios.cl/actividad/dia-del-patrimonio-en-patio-colores
8,"""Y tu campo de flores bordados: Bordadoras de Isla Negra""",https://www.diadelospatrimonios.cl/actividad/y-tu-campo-de-flores-bordados-bordadoras-de-isla-negra
8,La catedral: Puerta a nuestra historia,https://www.diadelospatrimonios.cl/actividad/la-catedral-puerta-nuestra-historia
8,Corrales de La Laja historia viva,https://www.diadelospatrimonios.cl/actividad/corrales-de-la-laja-historia-viva
9,Exhibición Documental - La Ruta de las Esculturas,https://www.diadelospatrimonios.cl/actividad/exhibicion-documental-la-ruta-de-las-esculturas
9,"Patrimonio Lafkenche y Del Maule, Toponimia y Chemamull",https://www.diadelospatrimonios.cl/actividad/patrimonio-lafkenche-y-del-maule-toponimia-y-chemamull
9,Historia de la Construcción del Embalse en el Campamento El Yeso,https://www.diadelospatrimonios.cl/actividad/historia-de-la-construccion-del-embalse-en-el-campamento-el-yeso
9,Patrimonio Olvidado Itinerante,https://www.diadelospatrimonios.cl/actividad/patrimonio-olvidado-itinerante
9,Luteranos en el Puerto de Valparaíso,https://www.diadelospatrimonios.cl/actividad/luteranos-en-el-puerto-de-valparaiso
9,Día de los Patrimonios en la Iglesia San Luis Gonzaga de Vilches,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-en-la-iglesia-san-luis-gonzaga-de-vilches
9,Charla histórica relacionada con el Combate Naval de Iquique,https://www.diadelospatrimonios.cl/actividad/charla-historica-relacionada-con-el-combate-naval-de-iquique
9,Encendiendo memorias: La energía que nos conecta en Magallanes,https://www.diadelospatrimonios.cl/actividad/encendiendo-memorias-la-energia-que-nos-conecta-en-magallanes
10,Conmemoración Día Nacional de Los Patrimonios,https://www.diadelospatrimonios.cl/actividad/conmemoracion-dia-nacional-de-los-patrimonios
10,Día de Los Patrimonios Museo Andino - Fundación Claro Vial,https://www.diadelospatrimonios.cl/actividad/dia-de-los-patrimonios-museo-andino-fundacion-claro-vial
10,Geoglifos de Pintados: ¡Mi aventura con el patrimonio!,https://www.diadelospatrimonios.cl/actividad/geoglifos-de-pintados-mi-aventura-con-el-patrimonio
